state,year,expenditure
WI,2014,1412594000
WY,2014,51422000
AS,2014,0
GU,2014,7075000
PR,2014,123285000
,2014,20371000
AL,2015,898010000
AK,2015,163012000
AZ,2015,1099837000
AR,2015,293494000
CA,2015,8656350000
CO,2015,1273753000
CT,2015,1091381000
DE,2015,191704000
DC,2015,559222000
FL,2015,2354871000
GA,2015,2046068000
HI,2015,332233000
ID,2015,146700000
IL,2015,2382947000
IN,2015,1323824000
IA,2015,758796000
KS,2015,562254000
KY,2015,516754000
LA,2015,662778000
ME,2015,103102000
MD,2015,3741687000
MA,2015,3673620000
MI,2015,2334031000
MN,2015,928999000
MS,2015,408232000
MO,2015,1074115000
MT,2015,181680000
NE,2015,464664000
NV,2015,157528000
NH,2015,357665000
NJ,2015,1106186000
NM,2015,390913000
NY,2015,5700230000
NC,2015,2814924000
ND,2015,217926000
OH,2015,2152796000
OK,2015,419602000
OR,2015,719881000
PA,2015,3356723000
RI,2015,453291000
SC,2015,665319000
SD,2015,103368000
TN,2015,1077068000
TX,2015,5036366000
UT,2015,733407000
VT,2015,119663000
VA,2015,1411176000
WA,2015,1518660000
WV,2015,199167000
WI,2015,1372168000
WY,2015,56996000
AS,2015,1337000
GU,2015,6062000
PR,2015,126792000
,2015,20630000
AL,2016,944506000
AK,2016,167308000
AZ,2016,1162283000
AR,2016,298497000
CA,2016,8888492000
CO,2016,1378920000
CT,2016,1176170000
DE,2016,197615000
DC,2016,555721000
FL,2016,2483359000
GA,2016,2168071000
HI,2016,318134000
ID,2016,154989000
IL,2016,2400990000
IN,2016,1408862000
IA,2016,814031000
KS,2016,559279000
KY,2016,546527000
LA,2016,683125000
ME,2016,100351000
MD,2016,3799639000
MA,2016,3796798000
MI,2016,2468498000
MN,2016,961040000
MS,2016,454983000
MO,2016,1151047000
MT,2016,195125000
NE,2016,481383000
NV,2016,191155000
NH,2016,379991000
NJ,2016,1158998000
NM,2016,367031000
NY,2016,6075419000
NC,2016,2937671000
ND,2016,226572000
OH,2016,2193019000
OK,2016,488559000
OR,2016,759243000
PA,2016,3950517000
RI,2016,462777000
SC,2016,687110000
SD,2016,106941000
TN,2016,1091835000
TX,2016,5254298000
UT,2016,573106000
VT,2016,120306000
VA,2016,1462939000
WA,2016,1613401000
WV,2016,199164000
WI,2016,1458791000
WY,2016,112056000
AS,2016,793000
GU,2016,7402000
PR,2016,120619000
,2016,21215000
AL,2017,994210000
AK,2017,176424000
AZ,2017,1213469000
AR,2017,312533000
CA,2017,9226580000
CO,2017,1461877000
CT,2017,1254440000
DE,2017,204221000
DC,2017,601551000
FL,2017,2584487000
GA,2017,2340410000
HI,2017,301204000
ID,2017,163093000
IL,2017,2503276000
IN,2017,1461367000
IA,2017,830587000
KS,2017,577566000
KY,2017,583143000
LA,2017,690958000
ME,2017,122740000
MD,2017,4017092000
MA,2017,3928192000
MI,2017,2662045000
MN,2017,968784000
MS,2017,479122000
MO,2017,1188439000
MT,2017,229206000
NE,2017,513581000
NV,2017,205761000
NH,2017,455859000
NJ,2017,1261174000
NM,2017,370329000
NY,2017,6388367000
NC,2017,3081568000
ND,2017,255942000
OH,2017,2299112000
OK,2017,505940000
OR,2017,780741000
PA,2017,4178978000
RI,2017,332483000
SC,2017,699199000
SD,2017,112916000
TN,2017,1183795000
TX,2017,5472126000
UT,2017,611015000
VT,2017,122003000
VA,2017,1551003000
WA,2017,1715069000
WV,2017,210259000
WI,2017,1504025000
WY,2017,125032000
AS,2017,0
GU,2017,8842000
PR,2017,113868000
,2017,12298000
AL,2018,1052494000
AK,2018,165198000
AZ,2018,1358920000
AR,2018,343066000
CA,2018,10170328000
CO,2018,1552251000
CT,2018,1287024000
DE,2018,207569000
DC,2018,630161000
FL,2018,2529896000
GA,2018,2473503000
